'0:00.000',-1.24
'0:00.004',-0.97
'0:00.008',-0.73
'0:00.012',-1.17
'0:00.016',-2.14
'0:00.020',-2.68
'0:00.023',-2.47
'0:00.027',-1.62
'0:00.031',-1.13
'0:00.035',-1.86
'0:00.039',-2.52
'0:00.043',-2.69
'0:00.047',-1.99
'0:00.051',-0.12
'0:00.055',2.62
'0:00.059',5.41
'0:00.063',7.41
'0:00.066',6.68
'0:00.070',3.42
'0:00.074',-0.55
'0:00.078',-3.19
'0:00.082',-4.29
'0:00.086',-4.85
'0:00.090',-5.22
'0:00.094',-4.91
'0:00.098',-4.47
'0:00.102',-3.96
'0:00.105',-3.38
'0:00.109',-2.85
'0:00.113',-2.43
'0:00.117',-1.99
'0:00.121',-1.76
'0:00.125',-1.75
'0:00.129',-1.93
'0:00.133',-2.12
'0:00.137',-1.86
'0:00.141',-1.06
'0:00.145',-0.3
'0:00.148',-0.31
'0:00.152',-0.33
'0:00.156',0.71
'0:00.160',2.39
'0:00.164',3.26
'0:00.168',3.17
'0:00.172',3.05
'0:00.176',3.16
'0:00.180',3.28
'0:00.184',3.24
'0:00.188',3.4
'0:00.191',4.02
'0:00.195',5.18
'0:00.199',5.52
'0:00.203',4.68
'0:00.207',3.54
'0:00.211',2.28
'0:00.215',1.22
'0:00.219',1.08
'0:00.223',1.79
'0:00.227',1.75
'0:00.230',0.27
'0:00.234',-1
'0:00.238',-1.28
'0:00.242',-0.99
'0:00.246',-0.83
'0:00.250',-0.94
'0:00.254',-1.23
'0:00.258',-0.99
'0:00.262',-0.66
'0:00.266',-0.33
'0:00.270',0.14
'0:00.273',0.86
'0:00.277',1.09
'0:00.281',0.4
'0:00.285',-0.32
'0:00.289',-0.78
'0:00.293',-0.93
'0:00.297',-1.1
'0:00.301',-1.49
'0:00.305',-1.75
'0:00.309',-1.8
'0:00.313',-1.78
'0:00.316',-1.75
'0:00.320',-1.7
'0:00.324',-1.69
'0:00.328',-1.7
'0:00.332',-1.42
'0:00.336',-0.71
'0:00.340',0.6
'0:00.344',3.01
'0:00.348',5.72
'0:00.352',7.95
'0:00.355',7.61
'0:00.359',4.29
'0:00.363',0.08
'0:00.367',-2.92
'0:00.371',-4.22
'0:00.375',-4.72
'0:00.379',-4.89
'0:00.383',-4.47
'0:00.387',-3.65
'0:00.391',-2.81
'0:00.395',-2.28
'0:00.398',-2.05
'0:00.402',-1.94
'0:00.406',-1.87
'0:00.410',-1.67
'0:00.414',-1.05
'0:00.418',-0.06
'0:00.422',-0.01
'0:00.426',-0.48
'0:00.430',-0.87
'0:00.434',-1.91
'0:00.438',-2.39
'0:00.441',-2.33
'0:00.445',-2.08
'0:00.449',-1.58
'0:00.453',-0.82
'0:00.457',-0.46
'0:00.461',0.16
'0:00.465',0.87
'0:00.469',1.79
'0:00.473',2.8
'0:00.477',3.56
'0:00.480',3.27
'0:00.484',2.09
'0:00.488',1.69
'0:00.492',2.01
'0:00.496',1.5
'0:00.500',1.25
'0:00.504',1.39
'0:00.508',1.58
'0:00.512',1.03
'0:00.516',0.21
'0:00.520',-0.3
'0:00.523',-0.62
'0:00.527',-0.66
'0:00.531',-0.81
'0:00.535',-0.59
'0:00.539',0.18
'0:00.543',0.58
'0:00.547',0.63
'0:00.551',0.46
'0:00.555',0.13
'0:00.559',0.2
'0:00.563',0.32
'0:00.566',0.24
'0:00.570',-0.15
'0:00.574',-0.62
'0:00.578',-0.03
'0:00.582',0.7
'0:00.586',0.98
'0:00.590',-0.33
'0:00.594',-1.91
'0:00.598',-2.49
'0:00.602',-2.91
'0:00.605',-3.02
'0:00.609',-2.98
'0:00.613',-2.41
'0:00.617',-1.29
'0:00.621',-1.03
'0:00.625',-1.54
'0:00.629',-1.67
'0:00.633',-0.74
'0:00.637',1.53
'0:00.641',3.48
'0:00.645',2.7
'0:00.648',0.42
'0:00.652',-2.05
'0:00.656',-3.56
'0:00.660',-4.06
'0:00.664',-3.54
'0:00.668',-1.98
'0:00.672',-0.83
'0:00.676',0.13
'0:00.680',0.69
'0:00.684',0.04
'0:00.688',-0.95
'0:00.691',-0.96
'0:00.695',-0.04
'0:00.699',0.81
'0:00.703',1.27
'0:00.707',1.22
'0:00.711',0.7
'0:00.715',-0.22
'0:00.719',-1.52
'0:00.723',-2.24
'0:00.727',-2.08
'0:00.730',-1.09
'0:00.734',0.52
'0:00.738',1.92
'0:00.742',2.12
'0:00.746',1.38
'0:00.750',0.73
'0:00.754',0.54
'0:00.758',1.08
'0:00.762',2.16
'0:00.766',3.18
'0:00.770',4.04
'0:00.773',4.39
'0:00.777',4.16
'0:00.781',3.7
'0:00.785',3.17
'0:00.789',2.85
'0:00.793',2.61
'0:00.797',2.65
'0:00.801',2.97
'0:00.805',2.94
'0:00.809',1.6
'0:00.813',-0.11
'0:00.816',-1.22
'0:00.820',-1.51
'0:00.824',-1.21
'0:00.828',-0.72
'0:00.832',-0.24
'0:00.836',0.25
'0:00.840',0.4
'0:00.844',-0.09
'0:00.848',-0.74
'0:00.852',-1.03
'0:00.855',-1
'0:00.859',-0.85
'0:00.863',-0.63
'0:00.867',-0.66
'0:00.871',-1.03
'0:00.875',-1.51
'0:00.879',-1.6
'0:00.883',-1.23
'0:00.887',-0.98
'0:00.891',-1.62
'0:00.895',-2.65
'0:00.898',-3.54
'0:00.902',-3.62
'0:00.906',-2.76
'0:00.910',-1.62
'0:00.914',-0.77
'0:00.918',0.06
'0:00.922',2.32
'0:00.926',5.33
'0:00.930',7.06
'0:00.934',6.54
'0:00.938',4.18
'0:00.941',0.73
'0:00.945',-2.55
'0:00.949',-4.82
'0:00.953',-5.52
'0:00.957',-4.87
'0:00.961',-3.82
'0:00.965',-2.72
'0:00.969',-2.21
'0:00.973',-3.1
'0:00.977',-4.04
'0:00.980',-3.91
'0:00.984',-3.22
'0:00.988',-2.69
'0:00.992',-2.39
'0:00.996',-2.09
'0:01.000',-1.74
'0:01.004',-1.2
'0:01.008',-0.53
'0:01.012',-0.4
'0:01.016',-0.4
'0:01.020',-0.19
'0:01.023',0.18
'0:01.027',0.33
'0:01.031',0
'0:01.035',0.53
'0:01.039',2.03
'0:01.043',3.4
'0:01.047',3.75
'0:01.051',4.03
'0:01.055',3.77
'0:01.059',3.24
'0:01.063',3.05
'0:01.066',3.23
'0:01.070',3.41
'0:01.074',3.09
'0:01.078',2.88
'0:01.082',2.71
'0:01.086',2.35
'0:01.090',1.8
'0:01.094',1.21
'0:01.098',0.83
'0:01.102',0.74
'0:01.105',0.58
'0:01.109',0.32
'0:01.113',0.35
'0:01.117',0.54
'0:01.121',0.11
'0:01.125',-0.42
'0:01.129',-0.65
'0:01.133',-0.68
'0:01.137',-0.76
'0:01.141',-0.99
'0:01.145',-1.22
'0:01.148',-1.24
'0:01.152',-1.1
'0:01.156',-1.42
'0:01.160',-2.01
