'0:00.000',2.76
'0:00.004',2.72
'0:00.008',2.37
'0:00.012',2.32
'0:00.016',2.59
'0:00.020',2.63
'0:00.023',2.68
'0:00.027',2.69
'0:00.031',2.86
'0:00.035',3.02
'0:00.039',3.1
'0:00.043',2.93
'0:00.047',3.21
'0:00.051',3.72
'0:00.055',4.01
'0:00.059',4.18
'0:00.063',4.59
'0:00.066',5.11
'0:00.070',5.73
'0:00.074',6.39
'0:00.078',6.64
'0:00.082',6.91
'0:00.086',7.27
'0:00.090',7.39
'0:00.094',7.44
'0:00.098',7.03
'0:00.102',6.33
'0:00.105',5.73
'0:00.109',5.08
'0:00.113',4.13
'0:00.117',3.21
'0:00.121',2.6
'0:00.125',2.01
'0:00.129',1.4
'0:00.133',0.8
'0:00.137',0.4
'0:00.141',0.27
'0:00.145',0.15
'0:00.148',0
'0:00.152',-0.13
'0:00.156',-0.2
'0:00.160',0.03
'0:00.164',0.2
'0:00.168',0.07
'0:00.172',-0.2
'0:00.176',-0.64
'0:00.180',-0.99
'0:00.184',-1.3
'0:00.188',-1.75
'0:00.191',-2.21
'0:00.195',-2.73
'0:00.199',-2.89
'0:00.203',-2.88
'0:00.207',-3.3
'0:00.211',-3.76
'0:00.215',-3.94
'0:00.219',-3.89
'0:00.223',-3.65
'0:00.227',-3.66
'0:00.230',-3.88
'0:00.234',-3.99
'0:00.238',-3.94
'0:00.242',-3.5
'0:00.246',-2.52
'0:00.250',-0.88
'0:00.254',1.18
'0:00.258',3.36
'0:00.262',5.19
'0:00.266',6.64
'0:00.270',5.84
'0:00.273',0.79
'0:00.277',-1.57
'0:00.281',-6.16
'0:00.285',-10.84
'0:00.289',-13.67
'0:00.293',-14.1
'0:00.297',-12.18
'0:00.301',-9.23
'0:00.305',-5.03
'0:00.309',-3.75
'0:00.313',-2.94
'0:00.316',-1.91
'0:00.320',-0.83
'0:00.324',-0.37
'0:00.328',0
'0:00.332',-0.27
'0:00.336',-0.07
'0:00.340',0.53
'0:00.344',0.74
'0:00.348',0.47
'0:00.352',0.49
'0:00.355',0.54
'0:00.359',0.76
'0:00.363',0.85
'0:00.367',1.04
'0:00.371',1.1
'0:00.375',1.08
'0:00.379',1.25
'0:00.383',1.34
'0:00.387',1.55
'0:00.391',2.57
'0:00.395',3.6
'0:00.398',4.08
'0:00.402',4.45
'0:00.406',5.26
'0:00.410',6.05
'0:00.414',6.06
'0:00.418',5.75
'0:00.422',5.79
'0:00.426',5.77
'0:00.430',5.2
'0:00.434',4.17
'0:00.438',2.87
'0:00.441',1.58
'0:00.445',0.99
'0:00.449',0.42
'0:00.453',-0.54
'0:00.457',-1.02
'0:00.461',-0.94
'0:00.465',-0.86
'0:00.469',-0.87
'0:00.473',-0.52
'0:00.477',-0.02
'0:00.480',0.25
'0:00.484',0.2
'0:00.488',0.18
'0:00.492',0.29
'0:00.496',-0.19
'0:00.500',-0.62
'0:00.504',-0.73
'0:00.508',-1.21
'0:00.512',-1.79
'0:00.516',-2.49
'0:00.520',-2.83
'0:00.523',-2.77
'0:00.527',-2.8
'0:00.531',-2.98
'0:00.535',-2.93
'0:00.539',-2.32
'0:00.543',-1.76
'0:00.547',-1.71
'0:00.551',-1.98
'0:00.555',-2.42
'0:00.559',-2.61
'0:00.563',-2.78
'0:00.566',-2.7
'0:00.570',-1.86
'0:00.574',-0.38
'0:00.578',1.54
'0:00.582',3.62
'0:00.586',5.86
'0:00.590',6.34
'0:00.594',5.38
'0:00.598',1.42
'0:00.602',-4.65
'0:00.605',-9.32
'0:00.609',-11.9
'0:00.613',-13.24
'0:00.617',-13.76
'0:00.621',-12.84
'0:00.625',-10.83
'0:00.629',-8.26
'0:00.633',-5.47
'0:00.637',-3.29
'0:00.641',-1.84
'0:00.645',-1.08
'0:00.648',-0.78
'0:00.652',-0.33
'0:00.656',-0.06
'0:00.660',-0.02
'0:00.664',-0.4
'0:00.668',-0.49
'0:00.672',0.03
'0:00.676',0.87
'0:00.680',1.5
'0:00.684',1.79
'0:00.688',1.84
'0:00.691',1.34
'0:00.695',0.87
'0:00.699',0.79
'0:00.703',0.9
'0:00.707',1.43
'0:00.711',1.87
'0:00.715',2.33
'0:00.719',2.88
'0:00.723',3.21
'0:00.727',3.69
'0:00.730',4.22
'0:00.734',4.56
'0:00.738',4.73
'0:00.742',5.09
'0:00.746',5.25
'0:00.750',5.65
'0:00.754',5.84
'0:00.758',5.45
'0:00.762',4.66
'0:00.766',3.84
'0:00.770',2.95
'0:00.773',2
