'0:00.000',-1.73
'0:00.004',-1.73
'0:00.008',-1.73
'0:00.012',-1.72
'0:00.016',-1.73
'0:00.020',-1.05
'0:00.023',-0.86
'0:00.027',-0.8
'0:00.031',-0.79
'0:00.035',-0.69
'0:00.039',-0.52
'0:00.043',-0.26
'0:00.047',0
'0:00.051',0.1
'0:00.055',0.21
'0:00.059',0.3
'0:00.063',0.32
'0:00.066',0.42
'0:00.070',0.54
'0:00.074',0.67
'0:00.078',0.73
'0:00.082',0.73
'0:00.086',0.74
'0:00.090',0.74
'0:00.094',0.49
'0:00.098',0.63
'0:00.102',0.73
'0:00.105',0.71
'0:00.109',0.62
'0:00.113',0.64
'0:00.117',0.65
'0:00.121',0.44
'0:00.125',0.15
'0:00.129',-0.1
'0:00.133',-0.29
'0:00.137',-0.3
'0:00.141',-0.34
'0:00.145',-0.26
'0:00.148',-0.26
'0:00.152',-0.13
'0:00.156',-0.02
'0:00.160',0.07
'0:00.164',0.12
'0:00.168',0.15
'0:00.172',0.02
'0:00.176',-0.08
'0:00.180',-0.05
'0:00.184',0.09
'0:00.188',0.2
'0:00.191',0.18
'0:00.195',0.2
'0:00.199',0.25
'0:00.203',0.26
'0:00.207',0.17
'0:00.211',0.06
'0:00.215',-0.03
'0:00.219',-0.24
'0:00.223',-0.3
'0:00.227',-0.47
'0:00.230',-0.84
'0:00.234',-1.01
'0:00.238',-1.02
'0:00.242',-1.05
'0:00.246',-1.18
'0:00.250',-1.37
'0:00.254',-1.57
'0:00.258',-1.65
'0:00.262',-1.47
'0:00.266',-1.18
'0:00.270',-1
'0:00.273',-1.06
'0:00.277',-1.12
'0:00.281',-1.13
'0:00.285',-1.16
'0:00.289',-1.46
'0:00.293',-2.05
'0:00.297',-2.43
'0:00.301',-2.17
'0:00.305',-1.09
'0:00.309',1.46
'0:00.313',5.27
'0:00.316',8.83
'0:00.320',11.11
'0:00.324',10.87
'0:00.328',8.07
'0:00.332',3.8
'0:00.336',-0.33
'0:00.340',-3.19
'0:00.344',-4.53
'0:00.348',-4.84
'0:00.352',-4.65
'0:00.355',-4.21
'0:00.359',-3.77
'0:00.363',-3.36
'0:00.367',-2.94
'0:00.371',-2.61
'0:00.375',-2.37
'0:00.379',-2.24
'0:00.383',-2.08
'0:00.387',-1.76
'0:00.391',-1.56
'0:00.395',-1.45
'0:00.398',-1.27
'0:00.402',-1.04
'0:00.406',-0.87
'0:00.410',-0.73
'0:00.414',-0.49
'0:00.418',-0.26
'0:00.422',-0.05
'0:00.426',0.21
'0:00.430',0.4
'0:00.434',0.33
'0:00.438',0.41
'0:00.441',0.52
'0:00.445',0.44
'0:00.449',0.6
'0:00.453',0.93
'0:00.457',1.19
'0:00.461',1.38
'0:00.465',1.43
'0:00.469',1.24
'0:00.473',1.01
'0:00.477',0.82
'0:00.480',0.67
'0:00.484',0.59
'0:00.488',0.56
'0:00.492',0.59
'0:00.496',0.63
'0:00.500',0.69
'0:00.504',0.52
'0:00.508',0.2
'0:00.512',-0.06
'0:00.516',-0.09
'0:00.520',-0.11
'0:00.523',-0.35
'0:00.527',-0.47
'0:00.531',-0.64
'0:00.535',-0.85
'0:00.539',-0.83
'0:00.543',-0.48
'0:00.547',-0.13
'0:00.551',0.05
'0:00.555',0.17
'0:00.559',0.38
'0:00.563',0.69
'0:00.566',1.03
'0:00.570',1.26
'0:00.574',1.18
'0:00.578',1.14
'0:00.582',1.19
'0:00.586',1.03
'0:00.590',0.73
'0:00.594',0.43
'0:00.598',0.21
'0:00.602',0
'0:00.605',-0.4
'0:00.609',-0.82
'0:00.613',-1.08
'0:00.617',-1.14
'0:00.621',-1.36
'0:00.625',-1.74
'0:00.629',-1.99
'0:00.633',-1.88
'0:00.637',-1.82
'0:00.641',-2.01
'0:00.645',-2.25
'0:00.648',-2.33
'0:00.652',-2.46
'0:00.656',-2.66
'0:00.660',-2.66
'0:00.664',-2.73
'0:00.668',-2.96
'0:00.672',-3.15
'0:00.676',-3.36
'0:00.680',-3.32
'0:00.684',-2.68
'0:00.688',-1.22
'0:00.691',1.38
'0:00.695',4.61
'0:00.699',7.54
'0:00.703',9.26
'0:00.707',8.28
'0:00.711',5.47
'0:00.715',2.04
'0:00.719',-1.45
'0:00.723',-4.01
'0:00.727',-5.09
'0:00.730',-5.19
'0:00.734',-4.95
'0:00.738',-4.23
'0:00.742',-3.24
'0:00.746',-2.56
'0:00.750',-2.14
'0:00.754',-1.72
'0:00.758',-1.43
'0:00.762',-1.11
'0:00.766',-0.92
'0:00.770',-0.9
'0:00.773',-0.76
'0:00.777',-0.49
'0:00.781',-0.5
'0:00.785',-0.6
'0:00.789',-0.43
'0:00.793',-0.11
'0:00.797',0.17
'0:00.801',0.24
'0:00.805',0.34
'0:00.809',0.61
'0:00.813',0.74
'0:00.816',0.72
'0:00.820',0.61
'0:00.824',0.65
'0:00.828',0.92
'0:00.832',1.05
'0:00.836',1.03
'0:00.840',1.04
'0:00.844',1.19
'0:00.848',1.2
'0:00.852',1.11
'0:00.855',1.21
'0:00.859',1.3
'0:00.863',1.18
'0:00.867',1.05
'0:00.871',1.16
'0:00.875',1.43
'0:00.879',1.48
'0:00.883',1.27
'0:00.887',1.03
'0:00.891',0.79
'0:00.895',0.5
'0:00.898',0.36
'0:00.902',0.3
'0:00.906',0.25
'0:00.910',0.27
'0:00.914',0.32
'0:00.918',0.51
'0:00.922',0.7
'0:00.926',0.92
'0:00.930',1.25
'0:00.934',1.53
'0:00.938',1.88
'0:00.941',2.33
'0:00.945',2.51
'0:00.949',2.67
'0:00.953',2.94
'0:00.957',3.15
'0:00.961',3.24
'0:00.965',3.32
'0:00.969',3.2
'0:00.973',2.94
'0:00.977',2.61
'0:00.980',2.31
'0:00.984',2.13
'0:00.988',2.08
'0:00.992',1.89
'0:00.996',1.51
'0:01.000',1.18
'0:01.004',0.99
'0:01.008',0.82
'0:01.012',0.69
'0:01.016',0.64
'0:01.020',0.56
'0:01.023',0.5
'0:01.027',0.33
'0:01.031',0.3
'0:01.035',0.43
'0:01.039',0.63
'0:01.043',0.78
'0:01.047',0.66
'0:01.051',0.39
'0:01.055',0
'0:01.059',-0.19
'0:01.063',-0.01
'0:01.066',0.73
'0:01.070',2.43
'0:01.074',5.37
'0:01.078',8.63
