'0:00.000',3.97
'0:00.004',3.55
'0:00.008',3.22
'0:00.012',2.75
'0:00.016',2.38
'0:00.020',2.29
'0:00.023',2.09
'0:00.027',1.86
'0:00.031',1.83
'0:00.035',1.97
'0:00.039',1.8
'0:00.043',1.35
'0:00.047',0.9
'0:00.051',0.46
'0:00.055',0.14
'0:00.059',0.25
'0:00.063',0.67
'0:00.066',0.83
'0:00.070',0.7
'0:00.074',0.18
'0:00.078',-0.16
'0:00.082',-0.11
'0:00.086',0.18
'0:00.090',0.36
'0:00.094',0.51
'0:00.098',0.66
'0:00.102',0.68
'0:00.105',0.67
'0:00.109',0.52
'0:00.113',0.42
'0:00.117',0.29
'0:00.121',0.16
'0:00.125',-0.16
'0:00.129',-0.67
'0:00.133',-1.03
'0:00.137',-1.2
'0:00.141',-1.23
'0:00.145',-1.24
'0:00.148',-1.4
'0:00.152',-1.59
'0:00.156',-1.63
'0:00.160',-1.72
'0:00.164',-1.99
'0:00.168',-2.21
'0:00.172',-2.15
'0:00.176',-1.78
'0:00.180',-1.39
'0:00.184',-1.26
'0:00.188',-1.2
'0:00.191',-0.73
'0:00.195',0.15
'0:00.199',1.91
'0:00.203',4.59
'0:00.207',7.14
'0:00.211',7.69
'0:00.215',5.16
'0:00.219',0.68
'0:00.223',-3.87
'0:00.227',-6.53
'0:00.230',-6.87
'0:00.234',-6.02
'0:00.238',-5.55
'0:00.242',-5.49
'0:00.246',-4.91
'0:00.250',-4.13
'0:00.254',-3.16
'0:00.258',-2.12
'0:00.262',-1.4
'0:00.266',-1.04
'0:00.270',-0.79
'0:00.273',-0.84
'0:00.277',-0.73
'0:00.281',-0.65
'0:00.285',-0.52
'0:00.289',-0.21
'0:00.293',-0.03
'0:00.297',0.21
'0:00.301',0.4
'0:00.305',0.53
'0:00.309',0.49
'0:00.313',0.49
'0:00.316',0.56
'0:00.320',0.8
'0:00.324',1.04
'0:00.328',1.21
'0:00.332',1.39
'0:00.336',1.53
'0:00.340',1.78
'0:00.344',1.94
'0:00.348',2.32
'0:00.352',2.79
'0:00.355',3.03
'0:00.359',2.99
'0:00.363',2.76
'0:00.367',2.74
'0:00.371',2.69
'0:00.375',2.88
'0:00.379',3.14
'0:00.383',3.18
'0:00.387',2.91
'0:00.391',2.27
'0:00.395',1.57
'0:00.398',0.81
'0:00.402',0.45
'0:00.406',0.16
'0:00.410',-0.2
'0:00.414',-0.61
'0:00.418',-0.73
'0:00.422',-0.66
'0:00.426',-0.6
'0:00.430',-0.93
'0:00.434',-1.14
'0:00.438',-0.88
'0:00.441',-0.2
'0:00.445',0.44
'0:00.449',0.79
'0:00.453',0.87
'0:00.457',0.77
'0:00.461',0.77
'0:00.465',0.88
'0:00.469',0.8
'0:00.473',0.56
'0:00.477',0.31
'0:00.480',0.14
'0:00.484',-0.13
'0:00.488',-0.29
'0:00.492',-0.43
'0:00.496',-0.6
'0:00.500',-0.74
'0:00.504',-0.96
'0:00.508',-1.23
'0:00.512',-1.63
'0:00.516',-1.82
'0:00.520',-1.95
'0:00.523',-2.22
'0:00.527',-2.45
'0:00.531',-2.43
'0:00.535',-2.38
'0:00.539',-2.27
'0:00.543',-2.24
'0:00.547',-2.27
'0:00.551',-2.06
'0:00.555',-1.49
'0:00.559',-0.59
'0:00.563',0.84
'0:00.566',3.06
'0:00.570',5.28
'0:00.574',6.02
'0:00.578',3.99
'0:00.582',0
'0:00.586',-4.3
'0:00.590',-7.21
'0:00.594',-8.17
'0:00.598',-7.89
'0:00.602',-7.06
'0:00.605',-6.1
'0:00.609',-4.79
'0:00.613',-3.39
'0:00.617',-2.6
'0:00.621',-2.32
'0:00.625',-2.19
'0:00.629',-1.66
'0:00.633',-1.25
'0:00.637',-1.39
'0:00.641',-1.61
'0:00.645',-1.95
'0:00.648',-2.21
'0:00.652',-2.09
'0:00.656',-1.66
'0:00.660',-1.16
'0:00.664',-1.04
'0:00.668',-0.85
'0:00.672',-0.45
'0:00.676',-0.06
'0:00.680',0.24
'0:00.684',0.43
'0:00.688',0.63
'0:00.691',0.98
'0:00.695',1.12
'0:00.699',0.89
'0:00.703',0.76
'0:00.707',0.81
'0:00.711',1.31
'0:00.715',1.95
'0:00.719',2.35
'0:00.723',2.62
'0:00.727',2.7
'0:00.730',2.89
'0:00.734',3.04
'0:00.738',2.87
'0:00.742',2.3
'0:00.746',1.86
'0:00.750',1.71
'0:00.754',1.82
'0:00.758',2
'0:00.762',1.55
'0:00.766',0.87
'0:00.770',0.22
'0:00.773',-0.24
'0:00.777',-0.56
'0:00.781',-0.91
'0:00.785',-1.04
'0:00.789',-0.95
'0:00.793',-0.85
'0:00.797',-0.67
'0:00.801',-0.36
'0:00.805',-0.17
'0:00.809',-0.18
'0:00.813',0.01
'0:00.816',0.15
'0:00.820',0.29
'0:00.824',0.32
'0:00.828',0.23
'0:00.832',-0.12
'0:00.836',-0.5
'0:00.840',-0.93
'0:00.844',-1.07
'0:00.848',-0.81
'0:00.852',-0.9
'0:00.855',-1.36
'0:00.859',-1.71
'0:00.863',-1.95
'0:00.867',-1.86
'0:00.871',-1.92
'0:00.875',-1.99
'0:00.879',-2.14
'0:00.883',-2.15
'0:00.887',-2
'0:00.891',-1.95
'0:00.895',-1.92
'0:00.898',-2.05
'0:00.902',-2.16
'0:00.906',-2.08
'0:00.910',-1.59
'0:00.914',-1
'0:00.918',-0.22
'0:00.922',-0.22
'0:00.926',4.36
'0:00.930',7.41
'0:00.934',9.01
'0:00.938',6.97
'0:00.941',1.93
'0:00.945',-3.15
'0:00.949',-6.23
'0:00.953',-7.31
'0:00.957',-7.16
'0:00.961',-6.35
'0:00.965',-5.47
'0:00.969',-4.8
'0:00.973',-4
'0:00.977',-3.33
'0:00.980',-2.87
'0:00.984',-2.46
'0:00.988',-2.01
'0:00.992',-1.6
'0:00.996',-1.28
'0:01.000',-1.14
'0:01.004',-1.37
'0:01.008',-1.4
'0:01.012',-1.21
'0:01.016',-1
'0:01.020',-0.87
'0:01.023',-0.58
'0:01.027',-0.34
'0:01.031',-0.31
'0:01.035',-0.07
'0:01.039',0.49
'0:01.043',0.64
'0:01.047',0.34
'0:01.051',0.15
'0:01.055',0.23
'0:01.059',0.82
'0:01.063',1.39
'0:01.066',1.77
'0:01.070',2.02
'0:01.074',2.19
'0:01.078',2.48
'0:01.082',2.86
'0:01.086',3.19
'0:01.090',3.15
'0:01.094',2.84
'0:01.098',2.63
'0:01.102',2.7
'0:01.105',2.58
'0:01.109',2.19
'0:01.113',1.91
'0:01.117',1.53
'0:01.121',1.14
'0:01.125',0.55
'0:01.129',-0.07
'0:01.133',-0.43
'0:01.137',-0.46
'0:01.141',-0.45
'0:01.145',-0.67
'0:01.148',-0.82
'0:01.152',-0.82
'0:01.156',-0.7
'0:01.160',-0.47
'0:01.164',-0.52
'0:01.168',-0.65
'0:01.172',-0.55
'0:01.176',-0.13
'0:01.180',0.22
'0:01.184',0.03
'0:01.188',-0.49
'0:01.191',-0.7
'0:01.195',-0.75
'0:01.199',-0.64
'0:01.203',-0.67
'0:01.207',-0.79
'0:01.211',-1.03
'0:01.215',-1.26
'0:01.219',-1.46
'0:01.223',-1.81
'0:01.227',-2.27
'0:01.230',-2.42
'0:01.234',-2.32
'0:01.238',-2.18
'0:01.242',-2.12
'0:01.246',-2.14
'0:01.250',-2
'0:01.254',-2.11
'0:01.258',-2.09
'0:01.262',-2.12
'0:01.266',-2.03
'0:01.270',-1.82
'0:01.273',-1.52
'0:01.277',-1.01
'0:01.281',0.15
'0:01.285',2.21
'0:01.289',4.82
'0:01.293',7.66
'0:01.297',9.45
'0:01.301',8.05
'0:01.305',3
'0:01.309',-2.68
'0:01.313',-6.14
'0:01.316',-6.99
'0:01.320',-6.47
'0:01.324',-5.74
'0:01.328',-5
'0:01.332',-4.27
'0:01.336',-3.36
'0:01.340',-2.42
'0:01.344',-1.88
'0:01.348',-1.8
'0:01.352',-1.59
'0:01.355',-0.91
'0:01.359',-0.4
'0:01.363',-0.13
'0:01.367',0.04
'0:01.371',-0.02
'0:01.375',0
'0:01.379',-0.16
'0:01.383',0.01
'0:01.387',0.54
'0:01.391',0.78
'0:01.395',0.66
'0:01.398',0.42
'0:01.402',0.18
'0:01.406',0.33
'0:01.410',1.08
'0:01.414',1.54
'0:01.418',1.39
'0:01.422',1.19
'0:01.426',1.03
'0:01.430',1.54
'0:01.434',2.47
'0:01.438',3.01
'0:01.441',3.16
'0:01.445',3.54
'0:01.449',3.43
'0:01.453',3.17
'0:01.457',3.45
'0:01.461',3.65
'0:01.465',3.56
'0:01.469',3.27
'0:01.473',2.41
'0:01.477',1.59
'0:01.480',1.02
'0:01.484',0.58
'0:01.488',0.19
'0:01.492',0.18
'0:01.496',0.82
'0:01.500',0.86
'0:01.504',-0.16
'0:01.508',-1.08
'0:01.512',-1.34
'0:01.516',-1.07
'0:01.520',-0.51
'0:01.523',-0.19
'0:01.527',-0.35
'0:01.531',-0.49
'0:01.535',-0.12
'0:01.539',0.47
'0:01.543',0.8
'0:01.547',0.95
'0:01.551',0.9
'0:01.555',0.74
'0:01.559',0.5
'0:01.563',0.36
'0:01.566',0.02
'0:01.570',-0.19
'0:01.574',-0.2
'0:01.578',-0.46
'0:01.582',-0.81
'0:01.586',-0.88
'0:01.590',-0.89
'0:01.594',-1.17
'0:01.598',-1.48
'0:01.602',-1.51
'0:01.605',-1.28
'0:01.609',-1
'0:01.613',-0.82
'0:01.617',-0.81
'0:01.621',-1.22
'0:01.625',-1.52
'0:01.629',-1.74
'0:01.633',-1.86
'0:01.637',-1.53
'0:01.641',-0.95
'0:01.645',-0.23
'0:01.648',0.81
'0:01.652',3.07
'0:01.656',6.28
'0:01.660',8.98
'0:01.664',9.21
'0:01.668',5.74
'0:01.672',0.29
'0:01.676',-4.31
'0:01.680',-6.61
'0:01.684',-6.77
'0:01.688',-5.93
'0:01.691',-5.17
'0:01.695',-4.61
'0:01.699',-4.09
'0:01.703',-3.49
'0:01.707',-2.95
'0:01.711',-2.35
'0:01.715',-1.68
'0:01.719',-1.16
'0:01.723',-0.7
'0:01.727',-0.3
'0:01.730',-0.24
'0:01.734',-0.23
'0:01.738',0.11
'0:01.742',0.43
'0:01.746',0.6
'0:01.750',0.59
'0:01.754',0.65
'0:01.758',0.71
'0:01.762',0.85
'0:01.766',0.97
'0:01.770',1.05
'0:01.773',1.13
'0:01.777',1.1
'0:01.781',1.19
'0:01.785',1.48
'0:01.789',1.67
'0:01.793',1.87
'0:01.797',2.2
'0:01.801',2.61
'0:01.805',2.76
'0:01.809',2.87
'0:01.813',3.07
'0:01.816',3.15
'0:01.820',3.28
'0:01.824',3.46
'0:01.828',3.51
'0:01.832',3.49
'0:01.836',3.24
'0:01.840',2.67
'0:01.844',2
'0:01.848',1.49
'0:01.852',1.14
'0:01.855',0.78
'0:01.859',0.35
'0:01.863',-0.22
'0:01.867',-0.55
'0:01.871',-0.65
'0:01.875',-0.77
'0:01.879',-0.8
'0:01.883',-0.75
'0:01.887',-0.77
'0:01.891',-0.77
'0:01.895',-0.69
'0:01.898',-0.38
'0:01.902',-0.03
'0:01.906',0.35
'0:01.910',0.54
'0:01.914',0.32
'0:01.918',0.08
'0:01.922',0.18
'0:01.926',0.32
'0:01.930',0.3
'0:01.934',0.16
'0:01.938',-0.05
'0:01.941',-0.44
'0:01.945',-0.83
'0:01.949',-1.34
'0:01.953',-1.94
'0:01.957',-2.38
'0:01.961',-2.6
'0:01.965',-2.63
'0:01.969',-2.58
'0:01.973',-2.53
'0:01.977',-2.53
'0:01.980',-2.51
'0:01.984',-2.38
'0:01.988',-2.43
'0:01.992',-2.41
'0:01.996',-2.27
'0:02.000',-2.19
'0:02.004',-2.1
'0:02.008',-1.8
'0:02.012',-1.22
'0:02.016',-0.05
'0:02.020',2.22
'0:02.023',5.34
'0:02.027',8.08
'0:02.031',8.24
'0:02.035',4.81
'0:02.039',-0.64
'0:02.043',-5.16
'0:02.047',-7.43
'0:02.051',-7.85
'0:02.055',-7.25
'0:02.059',-6.26
'0:02.063',-5.3
'0:02.066',-4.19
'0:02.070',-3.04
'0:02.074',-2.24
'0:02.078',-1.88
'0:02.082',-1.73
'0:02.086',-1.57
'0:02.090',-1.36
'0:02.094',-1.22
'0:02.098',-1.18
'0:02.102',-1
'0:02.105',-0.81
'0:02.109',-0.66
'0:02.113',-0.56
'0:02.117',-0.46
'0:02.121',-0.39
'0:02.125',-0.2
'0:02.129',0.18
'0:02.133',0.48
'0:02.137',0.64
'0:02.141',0.63
'0:02.145',0.82
'0:02.148',1.04
'0:02.152',1.23
'0:02.156',1.41
'0:02.160',1.66
'0:02.164',2.15
'0:02.168',2.63
'0:02.172',3.09
'0:02.176',3.03
'0:02.180',2.91
'0:02.184',3.12
'0:02.188',3.29
'0:02.191',3.36
'0:02.195',3.36
'0:02.199',3.3
'0:02.203',3.15
'0:02.207',2.77
'0:02.211',2.29
'0:02.215',2.13
'0:02.219',2.01
'0:02.223',1.56
'0:02.227',1.07
'0:02.230',0.71
'0:02.234',-0.06
'0:02.238',-0.65
'0:02.242',-0.82
'0:02.246',-0.7
'0:02.250',-0.37
'0:02.254',-0.16
'0:02.258',0.13
'0:02.262',0.5
'0:02.266',0.94
'0:02.270',1.14
'0:02.273',1.24
'0:02.277',1.07
'0:02.281',0.66
'0:02.285',0.35
'0:02.289',0.25
'0:02.293',0.09
'0:02.297',-0.02
'0:02.301',-0.18
'0:02.305',-0.45
'0:02.309',-0.8
'0:02.313',-1.12
'0:02.316',-1.33
'0:02.320',-1.52
'0:02.324',-1.67
'0:02.328',-1.98
'0:02.332',-2.26
'0:02.336',-2.03
'0:02.340',-1.78
'0:02.344',-1.75
'0:02.348',-1.65
'0:02.352',-1.67
'0:02.355',-1.68
'0:02.359',-1.64
'0:02.363',-1.69
'0:02.367',-1.66
'0:02.371',-1.6
'0:02.375',-1.23
'0:02.379',-0.24
'0:02.383',1.51
'0:02.387',3.85
'0:02.391',6.74
'0:02.395',8.81
'0:02.398',7.29
'0:02.402',2.9
'0:02.406',-2.69
'0:02.410',-6.84
'0:02.414',-7.8
'0:02.418',-6.88
'0:02.422',-5.44
'0:02.426',-4.06
'0:02.430',-2.69
'0:02.434',-1.62
'0:02.438',-1.13
'0:02.441',-1.1
'0:02.445',-0.79
'0:02.449',-0.43
'0:02.453',0.04
'0:02.457',0.22
'0:02.461',0.09
'0:02.465',0.12
'0:02.469',0.56
'0:02.473',0.98
'0:02.477',0.91
'0:02.480',0.65
'0:02.484',0.72
'0:02.488',1.13
'0:02.492',1.3
'0:02.496',1.35
'0:02.500',1.74
'0:02.504',1.95
'0:02.508',1.98
'0:02.512',1.95
'0:02.516',2.14
'0:02.520',2.38
'0:02.523',2.54
'0:02.527',2.71
'0:02.531',3.26
'0:02.535',3.83
'0:02.539',4.25
'0:02.543',4.53
'0:02.547',4.25
'0:02.551',3.25
'0:02.555',3.04
'0:02.559',3.57
'0:02.563',4.31
'0:02.566',4.84
'0:02.570',4.6
'0:02.574',4.01
'0:02.578',3.25
'0:02.582',2.34
'0:02.586',1.63
'0:02.590',1.3
'0:02.594',1.13
'0:02.598',0.85
'0:02.602',0.6
'0:02.605',0.51
